index,status_adoptable,description,id
2,0,"Okay people, prepare yourself for this face. Meet big Red! Red is a French mastiff, whose heart is as big...",48550360
6,0,None,48551137
9,0,Calling all sandlot fans!Meet Wendy Dawn Peffercorn! She was the momma to the beautiful &amp;#34;Sandlot&amp;#34; litter. Her 6 babies have...,48550819
11,0,"Greetings, my name is Chase and I am about 2 years old. I am a happy friendly boy who likes...",48555123
12,0,Maggie had been dumped because she had no prey drive and therefore did not make a good hunting dog.  After...,48554732
22,0,None,48554876
24,0,None,48550248
30,0,"All of our dogs are spayed or neutered, given a rabies vaccine (if old enough), distemper/parvo/bordetella vaccines, heartworm tested (if...",48550931
32,0,5 year old female $160,48551048
35,0,"Arlo is approx. 6mo old and a bully breed mix, around 30lb. He will be ready to travel to New...",48553219
37,0,"Bernie came to us very unsure about how to relate to humans. We have worked extensively with him, helping him...",48555322
38,0,Hi! I am a Gentle giant that was found running around a parking lot in Kansas.  I am playful and...,48550570
39,0,DOG BIOGRAPHY: Say hello to Gus the Great! He&#039;s a two-year-old schnauzer who weighs fifteen pounds. Gus was surrendered to...,48554860
42,0,Moose is living in a foster home. Submit an application from our website and then make an appointment to meet...,48550012
47,0,5 year old female $160,48551204
53,0,Buddy is a water-loving lab mix who&#039;s ready for a calm family environment.  He enjoys being with his person and...,48549788
56,0,Handsome Jackson is looking for a retirement home to soend the rest of his years in. Jackson&#039;s previous home loved...,48550680
59,0,None,48550792
65,0,PLEASE COMPLETELY READ THE ENTIRE DESCRIPTION   We are a foster home based rescue organization. **Only approved adopters can meet our...,48550993
71,0,READ ALL INFORMATION BELOW.    Miss Suzie is just 13 months of age.  Her momma was a pure breed Treeing Walker....,48553192
76,0,Good things come to those who wait....will you be my good thing?.....  My name is Clover!  I was brought back...,48555396
77,0,Meet Lily! She is a beautiful 7 year old white German Shepherd. Lily gets along with kids. She does not...,48552845
80,0,None,48551443
86,0,*Louise von Lemgo is a stunning 14-16 month old German Shepherd.  *Louise von Lemgo is new to Westside and we...,48554616
