index,status_adopted,description,id
0,1,"Meet Ruff, Ruff is a smaller breed - probably around 10 lbs at  6-7  months old and a complete mix...",48555420
1,1,"______ DOB/AGE: 07/10/2019 WEIGHT (GROWN):  55-60 lbs   I am currently in foster care, but very much adoptable.  You will need...",48549950
3,1,Louie is 15 months old and 42 lbs. He is a German Shepherd/Black Mouth Curr mix. He is friendly and...,48550730
4,1,"My name is Kenny. I&#039;m a 1 yr old, male border collie mix. I am a very sweet boy. I...",48552648
5,1,What’s better than one laid back sweet cuddle bug? How about TWO laid back sweet cuddle bugs??   Rusty and Stormy...,48549792
7,1,Meet Christian!!  Christian was found by a police officer living under an abandoned car In a yard for two years....,48549854
8,1,"Meet Jasper...an adorable little 1 year old Chiweenie, weighing 8 pounds. He came to us from a rural area in...",48551072
10,1,he is a very sweet girl but is shy when meeting new people and being in new situations. When she...,48553223
13,1,"Meet Spotiana! She is a sweet 1 year old terrier mix pup at about 38 pounds, who just wants a...",48554677
14,1,"Hello, my name is Daisy Mea. I am a 1 yr old female American bulldog current on vaccinations -rabies, distemper/parvo,...",48555066
15,1,Rufus is not with Hartman&#039;s Haven. We are trying to help his current owner find him a new home.   He&#039;s...,48552609
16,1,"This sweet gal is a volunteer favorite.  Good natured and easy on a leash, she is sure to make someone...",48549696
17,1,Case #16006. Flounder is a 1 year old Terrier Mix that was found at large and brought to the shelter...,48550008
18,1,"Brought in to the shelter due to her owners health concerns, Paris is a Very excited but shy girl, who...",48551249
19,1,~~Came in to the shelter because his owner did not have enough time to care for him ~~Friendly with school...,48552936
20,1,"Ronin is a striking 2 year old German Shepherd and Australian Shepherd mix. At 54 lbs, he’s an athletic dog...",48555158
21,1,You can fill out an adoption application online on our official website.,48555271
23,1,Lille - o/s,48552625
25,1,Good With Dogs: Yes Good With Cats: unknown Good With Kids: Yes Kennel Trained: Yes Age: Approx.  8 months Adoption...,48552760
26,1,4 Precious Paws Rescue holds pet adoptions every Saturday at the Carmel PetSmart Store from 12:00pm until 3:00pm. located at...,48554437
27,1,"Hi! My name is  Sunny  , I was rescued from an outside pen with 20+ other dogs and little to...",48550927
28,1,"Mia is a beautiful 2 year old, 50 pound husky mix... Very sweet and super active! Loves the car, dog...",48549655
29,1,You can fill out an adoption application online on our official website.,48555119
31,1,Piglet is 5 years old. Due to her breed she is required to find a home outside of Prince Georges...,48549881
33,1,"Madness is a retriever mix, approx. 5mo old and 30lb. He will be ready to travel to New England in...",48553425
34,1,4 Precious Paws Rescue holds pet adoptions every Saturday at the Carmel PetSmart Store from 12:00pm until 3:00pm. located at...,48553649
36,1,"DORA  Female SHEP MIX BRINDLE 13 2DHPP KC 2/15/2020 NO PUPPY  Hi Cathleen, She is doing great and really starting...",48549614
40,1,"Meet Buddy! He is around 3 months old, 17 pounds, found as a stray.   Buddy loves playing with the other...",48553281
41,1,"Nizhoni (Beautiful in Navajo) is a rambunctious, active, very very social and loving little girl. Nizhoni has not met an...",48549726
